latitude,longitude
-24.7821269,-65.4231976
-22.5167622,-63.8056084
-22.5135334,-63.7898055
-24.7423432,-65.4912826
-24.871032,-65.477715
-24.8098906,-65.3741838
-24.7758776,-65.4156693
-24.7313153,-65.4062081
-24.7754163,-65.444011
-24.7782563,-65.4272805
-24.762288,-65.3938949
-24.7928855,-65.3995085
34.802075,38.996815
-24.7823127,-65.4272225
-24.7979657,-65.403407
-24.7781146,-65.4489839
-24.804798,-65.4251213
-24.7844239,-65.4258378
-24.7948249,-65.3958743
-24.7931192,-65.4135423
-24.7165776,-65.4031634
44.8157598,20.4171526
-23.2094333,-64.0888052
-24.7854615,-65.4313505
0.3296256,-78.1299859
37.33874,-121.8852525
-32.8894587,-68.8458386
-24.8066047,-65.4121086
-24.6956181,-65.4126068
-24.7908898,-65.4284597
-24.6772614,-65.0444873
-24.6672578,-65.0500647
-22.5960958,-63.8115857
-24.8005152,-65.4204757
-24.73129,-65.48761
-24.7172773,-65.4052223
-24.9907525,-65.5812824
-25.2529539,-64.7162415
-38.416097,-63.616672
-24.7876489,-65.428752
-24.738404,-65.4045722
-25.4974022,-64.9817808
-25.1022834,-65.5354749
-23.4687639,-62.8875874
-25.7986507,-64.9676514
-24.7771256,-65.4022257
19.2895865,-99.5117391
-24.7911436,-65.4251045
-23.2487675,-63.3403869
-24.7410574,-65.4847759
-23.442503,-58.443832
-25.0767821,-65.4887332
-24.7353744,-65.3982711
-35.675147,-71.542969
-24.8483868,-65.446328
-23.8970765,-63.1961565
-24.907204,-65.6441178
35.6987388,-0.6349319
-24.77929,-65.417517
-34.6036844,-58.3815591
-24.7838483,-65.4341125
-24.7899249,-65.4181284
-24.8157056,-65.4038925
-25.111189,-66.175547
-24.7982219,-65.4195082
-25.5014749,-64.972948
-25.0733584,-65.4924997
-24.7269904,-65.4008597
-24.7562506,-65.4052282
-24.7770254,-65.4152491
-33.5009779,-70.7099288
-33.6233067,-64.5973906
-25.1215779,-66.1636689
-24.7745464,-65.4150518
-25.7869605,-64.9629281
-24.7721359,-65.4004071
-24.9766803,-65.5749947
-24.7882818,-65.4260645
-24.7989921,-65.4386189
-24.7786457,-65.429507
-24.725137,-65.4948865
-24.7273378,-64.1956854
34.2324668,-119.154253
-25.51105,-64.9718724
-38.3432397,-59.6114468
-22.5293937,-63.8082415
44.8084235,20.4240856
-24.9829102,-65.582901
-25.522196,-65.5089077
-24.9666639,-65.4895317
-23.3318071,-64.2262163
-24.4355662,-63.9931398
-25.4663498,-65.5635508
-22.0554561,-63.6885824
-24.7794488,-65.4268151
-25.1029019,-65.5334079
-25.1129885,-64.1168802
19.2188547,-70.5238948
-24.8115496,-65.4154141
